,SDG711_pct,ADM1+ADM2
145,64.82410467316666,Hubei+Xiantao
146,64.11084866196197,Hubei+Xiaogan
147,59.85160988147076,Hubei+Yichang
148,50.1013002955491,Hunan+Changde
149,77.99323132189136,Hunan+Changsha
150,42.561700949658814,Hunan+Chenzhou
151,42.41238160220532,Hunan+Hengyang
152,39.16534503023126,Hunan+Huaihua
153,48.53268118861398,Hunan+Loudi
154,37.40089254569724,Hunan+Shaoyang
155,61.53943696009485,Hunan+Xiangtan
156,35.56412962596232,Hunan+XiangxiTujiaandMiao
157,46.158120789214976,Hunan+Yiyang
158,38.643827192785984,Hunan+Yongzhou
159,53.74567152093681,Hunan+Yueyang
160,37.315243830160206,Hunan+Zhangjiajie
161,55.536415055463685,Hunan+Zhuzhou
162,97.6387266336496,Jiangsu+Changzhou
163,74.40829813797792,Jiangsu+Huai'an
164,83.3677689180012,Jiangsu+Lianyungang
165,97.51855960557421,Jiangsu+Nanjing
166,90.45656732514387,Jiangsu+Nantong
167,76.39934465624904,Jiangsu+Suqian
168,99.94477620175715,Jiangsu+Suzhou
169,92.28544677073083,Jiangsu+Taizhou
170,99.73821183447453,Jiangsu+Wuxi
171,82.80853206503146,Jiangsu+Xuzhou
172,77.7791355118581,Jiangsu+Yancheng
173,89.15317316991022,Jiangsu+Yangzhou
174,95.48533460483324,Jiangsu+Zhenjiang
175,48.114102896158805,Jiangxi+Fuzhou
176,53.19116465217078,Jiangxi+Ganzhou
177,39.458862836622814,Jiangxi+Ji'an
178,61.85823746898724,Jiangxi+Jingdezhen
179,51.62941008798213,Jiangxi+Jiujiang
180,83.70587453723061,Jiangxi+Nanchang
181,64.44094614304223,Jiangxi+Pingxiang
182,50.371079376662095,Jiangxi+Shangrao
183,64.89459102657892,Jiangxi+Xinyu
184,52.49562766835862,Jiangxi+Yichun
185,58.423453595132735,Jiangxi+Yingtan
186,63.72652065147072,Jilin+Baicheng
187,80.3783398513696,Jilin+Baishan
188,76.3470474682886,Jilin+Changchun
189,73.26937527925953,Jilin+Jilin
190,70.74911744801746,Jilin+Liaoyuan
191,67.31810576219576,Jilin+Siping
192,61.84535760557801,Jilin+Songyuan
193,73.04065860825288,Jilin+Tonghua
194,77.62054522922112,Jilin+YanbianKorean
195,87.2509376747629,Liaoning+Anshan
196,83.5739059365407,Liaoning+Benxi
197,72.62667827689198,Liaoning+Chaoyang
198,87.39302192709135,Liaoning+Dalian
199,77.9242399000554,Liaoning+Dandong
200,83.30322301047578,Liaoning+Fushun
201,74.69386653731188,Liaoning+Fuxin
202,72.33661648532971,Liaoning+Huludao
203,80.07860690524656,Liaoning+Jinzhou
204,87.37852077200625,Liaoning+Liaoyang
205,92.57942023828419,Liaoning+Panjin
206,93.94415514841552,Liaoning+Shenyang
207,81.2031528045599,Liaoning+Tieling
208,55.551827926314175,NeiMongol+Alxa
209,92.02102971017986,NeiMongol+Baotou
210,61.93353404165671,NeiMongol+Baynnur
211,60.469576239807786,NeiMongol+Chifeng
212,85.9601224112431,NeiMongol+Hohhot
213,67.31557336511084,NeiMongol+Hulunbuir
214,71.16714022656248,NeiMongol+Ordos
215,62.58711371115274,NeiMongol+Tongliao
216,55.93063660357597,NeiMongol+UlaanChab
217,92.91519979430508,NeiMongol+Wuhai
218,47.628330448654566,NeiMongol+XilinGol
219,54.32873868775974,NeiMongol+Xing'an
220,46.24051677147087,NingxiaHui+Guyuan
221,79.3904978219776,NingxiaHui+Shizuishan
222,70.82021474552805,NingxiaHui+Wuzhong
223,94.9316969127062,NingxiaHui+Yinchuan
224,64.65400751141907,NingxiaHui+Zhongwei
225,19.762501482353887,Qinghai+GologTibetan
226,23.662724870531008,Qinghai+GyêguTibetan
227,27.980302140132867,Qinghai+HaibeiTibetan
228,49.80124223817793,Qinghai+Haidong
229,35.727114415894775,Qinghai+HainanTibetan
230,55.49119384139708,Qinghai+HaixiMongolandTibetan
231,46.19139353613948,Qinghai+HuangnanTibetan
232,86.5411824321453,Qinghai+Xining
233,40.93249401895998,Shaanxi+Ankang
234,67.42783102743377,Shaanxi+Baoji
235,50.4788438895456,Shaanxi+Hanzhong
236,39.17802058389993,Shaanxi+Shangluo
237,74.72479793230873,Shaanxi+Tongchuan
238,59.36550591319235,Shaanxi+Weinan
239,93.85636754822984,Shaanxi+Xi'an
240,71.10332930024784,Shaanxi+Xianyang
241,61.966411219510206,Shaanxi+Yan'an
242,65.31273389668377,Shaanxi+Yulin
243,80.96676226441794,Shandong+Binzhou
244,68.64858290718807,Shandong+Dezhou
245,92.02535279665011,Shandong+Dongying
246,75.54378521473342,Shandong+Heze
247,89.97934043985394,Shandong+Jinan
248,82.34676501699137,Shandong+Jining
249,85.80954467442723,Shandong+Laiwu
250,77.43839275611043,Shandong+Liaocheng
251,86.85749987262707,Shandong+Linyi
252,94.7361503740565,Shandong+Qingdao
253,83.30072852358694,Shandong+Rizhao
254,79.14091094812564,Shandong+Tai'an
255,88.50740041784803,Shandong+Weifang
256,85.8874350348793,Shandong+Weihai
257,83.8837582148873,Shandong+Yantai
258,86.25460734078561,Shandong+Zaozhuang
259,91.11477785292803,Shandong+Zibo
260,99.75241711610256,Shanghai+Shanghai
261,79.42102677349838,Shanxi+Changzhi
262,82.95321586044884,Shanxi+Datong
263,80.37858406481973,Shanxi+Jincheng
264,84.11983277062562,Shanxi+Jinzhong
265,72.24865202285454,Shanxi+Linfen
266,77.03009117815876,Shanxi+Luliang
267,82.42411861245459,Shanxi+Shuozhou
268,98.11648029663256,Shanxi+Taiyuan
269,72.2045080140227,Shanxi+Xinzhou
270,83.75203747172014,Shanxi+Yangquan
271,61.01212871376048,Shanxi+Yuncheng
272,30.447073629683707,Sichuan+Bazhong
273,88.63749823906846,Sichuan+Chengdu
274,38.538198972188944,Sichuan+Dazhou
275,59.74941120237024,Sichuan+Deyang
276,23.54998740706085,Sichuan+GarzêTibetan
277,40.87377249618335,Sichuan+Guang'an
278,32.5950457283936,Sichuan+Guangyuan
279,53.68360639262277,Sichuan+Leshan
280,36.78017424934323,Sichuan+LiangshanYi
281,39.48330587616975,Sichuan+Luzhou
282,45.028992116337754,Sichuan+Meishan
283,52.29756973005166,Sichuan+Mianyang
284,39.56546978500565,Sichuan+Nanchong
285,32.506573715590015,Sichuan+Neijiang]]
286,50.63621198052192,Sichuan+Neijiang
287,51.787267362872,Sichuan+NgawaTibetanandQiang
288,74.22535701049149,Sichuan+Panzhihua
289,46.90225854611545,Sichuan+Suining
290,46.52905958599254,Sichuan+Ya'an
291,39.438210676486406,Sichuan+Yibin
292,44.718679127137385,Sichuan+Zigong
293,38.323322515478594,Sichuan+Ziyang
294,98.14652472570728,Tianjin+Tianjin
295,61.90568377354593,XinjiangUygur+Aksu
296,46.62557320299856,XinjiangUygur+Altay
297,66.88082902320389,XinjiangUygur+Bayin'gholinMongol
298,54.14676219393366,XinjiangUygur+BörtalaMongol
299,74.84456857246371,XinjiangUygur+ChangjiHui
300,67.03984697725213,XinjiangUygur+Hami
301,67.122372262286,XinjiangUygur+IliKazakh
302,93.43091651721885,XinjiangUygur+Karamay
