,SDG911_pct,ADM1_PROVINCE;ADM2_PREFECTURE
151,90.1376431017,Hunan;Hengyang
152,77.15011800109998,Hunan;Huaihua
153,89.18108334059998,Hunan;Loudi
154,84.2461598279,Hunan;Shaoyang
155,91.7248926911,Hunan;Xiangtan
156,78.1122469858,Hunan;XiangxiTujiaandMiao
157,89.3258041111,Hunan;Yiyang
158,80.75288401279998,Hunan;Yongzhou
159,91.6995094587,Hunan;Yueyang
160,76.17786487809998,Hunan;Zhangjiajie
161,87.93385278649998,Hunan;Zhuzhou
162,99.7604149957,Jiangsu;Changzhou
163,90.8432655302,Jiangsu;Huai'an
164,92.5948780169,Jiangsu;Lianyungang
165,98.0625046607,Jiangsu;Nanjing
166,98.6459694747,Jiangsu;Nantong
167,94.1638787939,Jiangsu;Suqian
168,99.481306915,Jiangsu;Suzhou
169,97.8798785618,Jiangsu;Taizhou
170,99.0441685997,Jiangsu;Wuxi
171,93.2073310192,Jiangsu;Xuzhou
172,94.0288772072,Jiangsu;Yancheng
173,96.7891829788,Jiangsu;Yangzhou
174,99.5768564361,Jiangsu;Zhenjiang
175,83.4653656632,Jiangxi;Fuzhou
176,81.353881348,Jiangxi;Ganzhou
177,82.4267608234,Jiangxi;Ji'an
178,99.1098843653,Jiangxi;Jingdezhen
179,89.16067707659998,Jiangxi;Jiujiang
180,95.5217920929,Jiangxi;Nanchang
181,89.94873468679998,Jiangxi;Pingxiang
182,94.8093755254,Jiangxi;Shangrao
183,88.544815873,Jiangxi;Xinyu
184,90.1577197913,Jiangxi;Yichun
185,86.5265756868,Jiangxi;Yingtan
186,70.25936606,Jilin;Baicheng
187,91.6639446886,Jilin;Baishan
188,77.4166379128,Jilin;Changchun
189,81.9249304918,Jilin;Jilin
190,82.569144306,Jilin;Liaoyuan
191,81.001269275,Jilin;Siping
192,65.9170732233,Jilin;Songyuan
193,86.1149445197,Jilin;Tonghua
194,84.6037938779,Jilin;YanbianKorean
195,91.2570046236,Liaoning;Anshan
196,87.99861928209998,Liaoning;Benxi
197,80.5647133775,Liaoning;Chaoyang
198,98.6598818431,Liaoning;Dalian
199,91.1696693317,Liaoning;Dandong
200,89.482488168,Liaoning;Fushun
201,84.70193844569998,Liaoning;Fuxin
202,88.3832594782,Liaoning;Huludao
203,87.2592455477,Liaoning;Jinzhou
204,88.2594200142,Liaoning;Liaoyang
205,88.93404767389998,Liaoning;Panjin
206,91.5858523993,Liaoning;Shenyang
207,85.3660022706,Liaoning;Tieling
208,56.854113164,NeiMongol;Alxa
209,73.3185564255,NeiMongol;Baotou
210,81.94022367069998,NeiMongol;Baynnur
211,73.7231210903,NeiMongol;Chifeng
212,84.493143028,NeiMongol;Hohhot
213,72.48367345769998,NeiMongol;Hulunbuir
214,75.38246406,NeiMongol;Ordos
215,73.1315844722,NeiMongol;Tongliao
216,76.84526417339998,NeiMongol;UlaanChab
217,77.1193883041,NeiMongol;Wuhai
